Australien;Melbourne;16.03.2014
Malaysia;Sepang;30.03.2014
Bahrain;Sachir;06.04.2014
China;Schanghai;20.04.2014
Spanien;Barcelona;11.05.2014
Monaco;Monte Carlo;25.05.2014
Kanada;Montreal;08.06.2014
÷sterreich;Spielberg;22.06.2014
Groﬂbritannien;Silverstone;06.07.2014
Deutschland;Hockenheim;20.07.2014
Ungarn;Budapest;27.07.2014
Belgien;Spa-Francorchamps;24.08.2014
Italien;Monza;07.09.2014
Singapur;Singapur;21.09.2014
Japan;Suzuka;05.10.2014
Russland;Sotschi;12.10.2014
USA;Austin;02.11.2014
Brasilien;Sao Paulo;09.11.2014
AbuDhabi;Abu Dhabi;23.11.2014
